Layer,Head,Impact,SNR,P_val
3,11,0.023110219183851,-0.7292606275328155,1.0
3,12,0.15551459842964574,1.50815083821361,7.307633090875019e-260
3,13,0.0,-0.14998295745037957,0.9999987794522289
3,14,0.0,-0.679378523642938,1.0
3,15,0.02458772555139689,0.6556546299187136,6.1431352540078975e-80
3,16,0.0,-0.4206547943976092,1.0
3,18,0.0,-0.9744020959657369,1.0
3,19,0.02129820780010307,-1.2620642361059378,1.0
4,0,0.0,-1.0251990657861525,1.0
4,1,0.11461540513476597,1.4537511287767282,6.525755312834311e-249
4,2,0.023015273399151468,-0.5604018758816403,1.0
4,4,0.0,-0.23988096608535808,0.9999999999999611
4,5,0.0,-0.6889656653437629,1.0
4,6,0.023187167032255467,-0.5554006349999938,1.0
4,9,0.0,-0.13150664608837076,0.9999824587776579
4,11,0.0,-0.34003864799843503,1.0
4,12,0.0,-0.6391074237826125,1.0
4,13,0.0,-0.33921857466071104,1.0
4,16,0.0598740668904283,1.0700841221131228,4.796411469932573e-168
4,17,0.0,-0.5191633808196251,1.0
4,19,0.031744204852326485,0.8711644846098756,6.048112106509864e-125
5,0,0.0,-0.27627267624026847,1.0
5,1,0.0,-0.325143233999927,1.0
5,2,0.0,-0.2398706173236539,0.999999999999961
5,4,0.0,-0.2792902164356707,1.0
5,6,0.08247304257103338,1.764831424074894,2.009626033321015e-309
5,7,0.0,-0.15983955745583556,0.9999997402401075
5,8,0.0,-0.8524257056420687,1.0
5,9,0.0,-0.3335922411719624,1.0
5,12,0.0,-0.34231266051922665,1.0
5,13,0.0,-0.14285714285714288,0.9999964617093752
5,16,0.011132132084577317,-1.2811289315653525,1.0
5,18,0.0,-0.17281816283231746,0.9999999703279503
6,1,0.0,-0.5599520536853047,1.0
6,2,0.0,-0.20126357845515766,0.999999999847991
6,4,0.0,-0.46841907734607885,1.0
6,5,0.0,-0.1545695333439805,0.9999993994361555
6,6,0.0,-0.180407958421329,0.9999999922140006
6,8,0.0,-0.19836202051651342,0.9999999997311362
6,9,0.0,-0.1715384065245039,0.9999999630051208
6,11,0.0,-0.19002599359027914,0.9999999986713105
6,12,0.0,-0.4137107416117246,1.0
6,13,0.0,-0.16389722537398668,0.9999998660378314
6,14,0.0,-0.1315066460883708,0.9999824587776579
6,15,0.0,-0.18881801039530577,0.9999999983335304
6,17,0.0,-0.16338312389759838,0.9999998541951497
6,18,0.0,-0.22201573222481147,0.9999999999979147
6,19,0.0,-0.1633831238975984,0.9999998541951497
7,1,0.0,-0.2200680410524274,0.9999999999968322
7,2,0.0,-0.23354778082062916,0.9999999999998357
7,3,0.0,-0.2429813172142076,0.9999999999999811
7,4,0.0,-0.17281816283231746,0.9999999703279503
7,7,0.0,-0.251773176727613,0.9999999999999977
